conversation_id,conversation_text,attribute_count_normalized,average_specificity,maximum_specificity,high_specificity_ratio,sensitive_category_count_normalized,uniqueness_risk,risk_score,risk_level,attributes_json,contextual_indicators_json
ml_conv_0001,My situation is that I live in Ward 14 in Jaipur.,0.2,0.26,0.26,0.0,0.0,0,0.944444,LOW,"[{""type"": ""LOCATION"", ""value"": ""Ward 14 in Jaipur"", ""specificity"": 0.26, ""confidence"": 0.89, ""source_message_id"": 1}]",[]
ml_conv_0002,A few details about me: I have rare neurological disorder; I have a ration card; the relevant date is yesterday; I live in India; I work as a shopkeeper; I identify as nonbinary adult.,1.0,0.9016666666666667,0.97,1.0,0.2,0.2,6.285185,MEDIUM,"[{""type"": ""HEALTH"", ""value"": ""rare neurological disorder"", ""specificity"": 0.83, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.9, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""DATE"", ""value"": ""yesterday"", ""specificity"": 0.83, ""confidence"": 0.96, ""source_message_id"": 2}, {""type"": ""LOCATION"", ""value"": ""India"", ""specificity"": 0.97, ""confidence"": 0.95, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""shopkeeper"", ""specificity"": 0.91, ""confidence"": 0.96, ""source_message_id"": 4}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.97, ""confidence"": 0.9, ""source_message_id"": 2}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0003,Yesterday I mentioned that my family includes single parent; I visited district clinic.,0.4,0.26,0.4,0.0,0.2,0,1.844444,LOW,"[{""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.12, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""FACILITY"", ""value"": ""district clinic"", ""specificity"": 0.4, ""confidence"": 0.89, ""source_message_id"": 1}]",[]
ml_conv_0004,"For context, I have a government identification number; I work as a farm worker; my family includes elderly dependent; I identify as nonbinary adult; I live in Village Y.",1.0,0.8640000000000001,0.99,0.8,0.2,0.6,6.832222,HIGH,"[{""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 0.65, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""farm worker"", ""specificity"": 0.99, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.85, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""GENDER"", ""value"": ""nonbinary adult"", ""specificity"": 0.98, ""confidence"": 0.96, ""source_message_id"": 3}, {""type"": ""LOCATION"", ""value"": ""Village Y"", ""specificity"": 0.85, ""confidence"": 0.9, ""source_message_id"": 1}]","[{""indicator"": ""village_level_location"", ""attribute_type"": ""LOCATION""}]"
ml_conv_0005,A few details about me: I am the only person matching these details: I have a rare blood disorder; my contact is a phone ending in 4421; I have a ration card; my family includes elderly dependent; I have ₹50 lakh debt.,1.0,0.8,0.96,0.6,0.6,1.0,8.155556,HIGH,"[{""type"": ""HEALTH"", ""value"": ""a rare blood disorder"", ""specificity"": 0.65, ""confidence"": 0.94, ""source_message_id"": 1}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.87, ""confidence"": 0.99, ""source_message_id"": 2}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a ration card"", ""specificity"": 0.87, ""confidence"": 0.95, ""source_message_id"": 3}, {""type"": ""FAMILY"", ""value"": ""elderly dependent"", ""specificity"": 0.96, ""confidence"": 0.9, ""source_message_id"": 4}, {""type"": ""FINANCIAL"", ""value"": ""₹50 lakh debt"", ""specificity"": 0.65, ""confidence"": 0.97, ""source_message_id"": 1}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0006,A few details about me: my family includes single parent; I have medical debt; I have asthma; I work as a farm worker.,0.8,0.625,0.78,0.5,0.6,0.2,5.494444,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""single parent"", ""specificity"": 0.45, ""confidence"": 0.92, ""source_message_id"": 1}, {""type"": ""FINANCIAL"", ""value"": ""medical debt"", ""specificity"": 0.74, ""confidence"": 0.9, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.78, ""confidence"": 0.88, ""source_message_id"": 3}, {""type"": ""OCCUPATION"", ""value"": ""farm worker"", ""specificity"": 0.53, ""confidence"": 0.91, ""source_message_id"": 2}]","[{""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0007,A few details about me: I am the only person matching these details: my contact is a phone ending in 4421; I am 29; I work as a teacher; I have a rare blood disorder.,0.8,0.87,0.99,1.0,0.2,1.0,7.838889,HIGH,"[{""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.81, ""confidence"": 0.96, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""29"", ""specificity"": 0.89, ""confidence"": 0.93, ""source_message_id"": 1}, {""type"": ""OCCUPATION"", ""value"": ""teacher"", ""specificity"": 0.99, ""confidence"": 0.95, ""source_message_id"": 3}, {""type"": ""HEALTH"", ""value"": ""a rare blood disorder"", ""specificity"": 0.79, ""confidence"": 0.92, ""source_message_id"": 3}]","[{""indicator"": ""exact_age"", ""attribute_type"": ""AGE""}, {""indicator"": ""sensitive_health_attribute"", ""attribute_type"": ""HEALTH""}, {""indicator"": ""uniqueness_word"", ""attribute_type"": ""AGE""}]"
ml_conv_0008,A few details about me: my family includes parent; I am 57; my contact is a phone ending in 4421.,0.6,0.6766666666666667,0.8,0.3333333333333333,0.2,0,3.751852,MEDIUM,"[{""type"": ""FAMILY"", ""value"": ""parent"", ""specificity"": 0.8, ""confidence"": 0.99, ""source_message_id"": 1}, {""type"": ""AGE"", ""value"": ""57"", ""specificity"": 0.58, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""PHONE_NUMBER"", ""value"": ""a phone ending in 4421"", ""specificity"": 0.65, ""confidence"": 0.99, ""source_message_id"": 3}]",[]
ml_conv_0009,A few details about me: I am the only person matching these details: the relevant date is this week; I have asthma; I visited PHC Y; I work as a student; I have a government identification number; I have financial difficulty. Only a few people in the area know these details about me.,1.0,0.7933333333333333,1.0,0.6666666666666666,0.4,1.0,7.881481,HIGH,"[{""type"": ""DATE"", ""value"": ""this week"", ""specificity"": 0.76, ""confidence"": 0.98, ""source_message_id"": 1}, {""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.67, ""confidence"": 0.96, ""source_message_id"": 2}, {""type"": ""FACILITY"", ""value"": ""PHC Y"", ""specificity"": 0.67, ""confidence"": 0.94, ""source_message_id"": 2}, {""type"": ""OCCUPATION"", ""value"": ""student"", ""specificity"": 0.77, ""confidence"": 0.93, ""source_message_id"": 3}, {""type"": ""GOVERNMENT_ID"", ""value"": ""a government identification number"", ""specificity"": 1.0, ""confidence"": 0.97, ""source_message_id"": 4}, {""type"": ""FINANCIAL"", ""value"": ""financial difficulty"", ""specificity"": 0.89, ""confidence"": 0.98, ""source_message_id"": 1}]","[{""indicator"": ""uniqueness_word"", ""attribute_type"": ""HEALTH""}]"
ml_conv_0010,Here are some details: I have asthma. After work I walked through the park and called a friend.,0.2,0.11,0.11,0.0,0.2,0,0.972222,LOW,"[{""type"": ""HEALTH"", ""value"": ""asthma"", ""specificity"": 0.11, ""confidence"": 0.97, ""source_message_id"": 1}]",[]
